county,office,district,party,candidate,votes
Douglas,U.S. Senate,,IND,Dean Barkley,3723
Douglas,U.S. Senate,,LIB,,75
Douglas,U.S. Senate,,R,Norm Coleman,10077
Douglas,U.S. Senate,,WI,WRITE-IN,14
Faribault,President,,CP,,24
Faribault,President,,DFL,Barack Obama,3736
Faribault,President,,GP,Cynthia McKinney,15
Faribault,President,,IND,Ralph Nader,134
Faribault,President,,LIB,Bob Barr,18
Faribault,President,,R,John McCain,4196
Faribault,President,,SWP,,5
Faribault,President,,WI,WRITE-IN,24
Faribault,U.S. Senate,,CP,,27
Faribault,U.S. Senate,,DFL,Al Franken,2911
Faribault,U.S. Senate,,IND,Dean Barkley,1509
Faribault,U.S. Senate,,LIB,,53
Faribault,U.S. Senate,,R,Norm Coleman,3599
Faribault,U.S. Senate,,WI,WRITE-IN,6
Fillmore,President,,CP,,50
Fillmore,President,,DFL,Barack Obama,5921
Fillmore,President,,GP,Cynthia McKinney,18
Fillmore,President,,IND,Ralph Nader,151
Fillmore,President,,LIB,Bob Barr,40
Fillmore,President,,R,John McCain,4993
Fillmore,President,,SWP,,6
Fillmore,President,,WI,WRITE-IN,55
Fillmore,U.S. Senate,,CP,,59
Fillmore,U.S. Senate,,DFL,Al Franken,4630
Fillmore,U.S. Senate,,IND,Dean Barkley,1604
Fillmore,U.S. Senate,,LIB,,60
Fillmore,U.S. Senate,,R,Norm Coleman,4772
Fillmore,U.S. Senate,,WI,WRITE-IN,6
Freeborn,President,,CP,,36
Freeborn,President,,DFL,Barack Obama,9915
Freeborn,President,,GP,Cynthia McKinney,25
Freeborn,President,,IND,Ralph Nader,245
Freeborn,President,,LIB,Bob Barr,43
Freeborn,President,,R,John McCain,6955
Freeborn,President,,SWP,,3
Freeborn,President,,WI,WRITE-IN,58
Freeborn,U.S. Senate,,CP,,66
Freeborn,U.S. Senate,,DFL,Al Franken,7432
Freeborn,U.S. Senate,,IND,Dean Barkley,2920
Freeborn,U.S. Senate,,LIB,,122
Freeborn,U.S. Senate,,R,Norm Coleman,6566
Freeborn,U.S. Senate,,WI,WRITE-IN,13
Goodhue,President,,CP,,77
Goodhue,President,,DFL,Barack Obama,12420
Goodhue,President,,GP,Cynthia McKinney,55
Goodhue,President,,IND,Ralph Nader,316
Goodhue,President,,LIB,Bob Barr,61
Goodhue,President,,R,John McCain,12775
Goodhue,President,,SWP,,10
Goodhue,President,,WI,WRITE-IN,81
Goodhue,U.S. Senate,,CP,,89
Goodhue,U.S. Senate,,DFL,Al Franken,9242
Goodhue,U.S. Senate,,IND,Dean Barkley,5047
Goodhue,U.S. Senate,,LIB,,110
Goodhue,U.S. Senate,,R,Norm Coleman,11176
Goodhue,U.S. Senate,,WI,WRITE-IN,11
Grant,President,,CP,,11
Grant,President,,DFL,Barack Obama,1850
Grant,President,,GP,Cynthia McKinney,6
Grant,President,,IND,Ralph Nader,60
Grant,President,,LIB,Bob Barr,17
Grant,President,,R,John McCain,1646
Grant,President,,SWP,,1
Grant,President,,WI,WRITE-IN,14
Grant,U.S. Senate,,CP,,7
Grant,U.S. Senate,,DFL,Al Franken,1469
Grant,U.S. Senate,,IND,Dean Barkley,630
Grant,U.S. Senate,,LIB,,6
Grant,U.S. Senate,,R,Norm Coleman,1483
Grant,U.S. Senate,,WI,WRITE-IN,2
Hennepin,President,,CP,,1071
Hennepin,President,,DFL,Barack Obama,420958
Hennepin,President,,GP,Cynthia McKinney,1151
Hennepin,President,,IND,Ralph Nader,4992
Hennepin,President,,LIB,Bob Barr,2320
Hennepin,President,,R,John McCain,231054
Hennepin,President,,SWP,,161
