district,total_population,vap_18plus,white_pop,black_pop,native_pop,asian_pop,pacific_pop,multiracial_pop,hispanic_pop,white_vap,black_vap,native_vap,asian_vap,pacific_vap,multiracial_vap,hispanic_vap,white_pop_pct,white_vap_pct,black_pop_pct,black_vap_pct,native_pop_pct,native_vap_pct,asian_pop_pct,asian_vap_pct,pacific_pop_pct,pacific_vap_pct,multiracial_pop_pct,multiracial_vap_pct,hispanic_pop_pct,hispanic_vap_pct
11B,42593,33842,37792,1016,1171,357,6,2009,1012,30422,940,853,264,3,1196,648,88.73,89.89,2.39,2.78,2.75,2.52,0.84,0.78,0.01,0.01,4.72,3.53,2.38,1.91
12A,42350,32571,38814,254,306,234,140,1505,2202,30366,174,207,166,77,836,1344,91.65,93.23,0.60,0.53,0.72,0.64,0.55,0.51,0.33,0.24,3.55,2.57,5.20,4.13
12B,42974,33296,39397,291,148,230,14,1590,2298,31089,186,107,168,12,924,1335,91.68,93.37,0.68,0.56,0.34,0.32,0.54,0.50,0.03,0.04,3.70,2.78,5.35,4.01
13A,42694,33169,39876,492,82,276,6,1301,1380,31375,316,59,245,0,748,852,93.40,94.59,1.15,0.95,0.19,0.18,0.65,0.74,0.01,0.00,3.05,2.26,3.23,2.57
13B,43095,31791,38958,750,174,781,12,1958,1115,29304,488,112,580,8,989,666,90.40,92.18,1.74,1.54,0.40,0.35,1.81,1.82,0.03,0.03,4.54,3.11,2.59,2.09
14A,42588,32233,28716,9178,240,1411,25,2064,2017,23847,5111,180,1245,20,1203,1317,67.43,73.98,21.55,15.86,0.56,0.56,3.31,3.86,0.06,0.06,4.85,3.73,4.74,4.09
14B,43001,33913,31427,6492,314,1297,35,2572,1826,26707,3849,236,1040,27,1453,1210,73.08,78.75,15.10,11.35,0.73,0.70,3.02,3.07,0.08,0.08,5.98,4.28,4.25,3.57
15A,42487,32279,36585,1026,501,1336,4,1901,2449,28640,672,350,860,3,1030,1428,86.11,88.73,2.41,2.08,1.18,1.08,3.14,2.66,0.01,0.01,4.47,3.19,5.76,4.42
15B,42334,32623,38528,209,899,542,7,1622,1678,30369,131,561,338,2,855,933,91.01,93.09,0.49,0.40,2.12,1.72,1.28,1.04,0.02,0.01,3.83,2.62,3.96,2.86
16A,42657,32719,38107,207,230,160,308,2031,3354,29933,144,146,115,183,1174,1936,89.33,91.49,0.49,0.44,0.54,0.45,0.38,0.35,0.72,0.56,4.76,3.59,7.86,5.92
16B,42613,31965,33935,2645,217,584,37,2968,5885,26785,1431,152,387,17,1709,3517,79.64,83.79,6.21,4.48,0.51,0.48,1.37,1.21,0.09,0.05,6.97,5.35,13.81,11.00
17A,42417,32346,38682,266,153,250,31,2160,2425,30045,175,107,200,24,1205,1414,91.19,92.89,0.63,0.54,0.36,0.33,0.59,0.62,0.07,0.07,5.09,3.73,5.72,4.37
17B,42470,31853,38390,401,135,492,14,2036,2462,29425,229,89,351,13,1101,1442,90.39,92.38,0.94,0.72,0.32,0.28,1.16,1.10,0.03,0.04,4.79,3.46,5.80,4.53
18A,42857,32965,37088,2110,217,667,21,1918,2146,29294,1293,176,549,20,1075,1349,86.54,88.86,4.92,3.92,0.51,0.53,1.56,1.67,0.05,0.06,4.48,3.26,5.01,4.09
18B,42819,34980,33985,3465,217,1664,25,2481,2432,28562,2419,166,1484,21,1527,1783,79.37,81.65,8.09,6.92,0.51,0.47,3.89,4.24,0.06,0.06,5.79,4.37,5.68,5.10
19A,42300,32467,33377,3712,322,452,5,2580,3982,26783,2330,266,339,0,1513,2402,78.91,82.49,8.78,7.18,0.76,0.82,1.07,1.04,0.01,0.00,6.10,4.66,9.41,7.40
19B,42563,32107,36212,1673,252,408,28,2332,3986,28239,963,213,303,19,1285,2382,85.08,87.95,3.93,3.00,0.59,0.66,0.96,0.94,0.07,0.06,5.48,4.00,9.36,7.42
20A,42570,33481,38245,614,587,290,31,1896,1739,30784,382,394,214,20,1086,1066,89.84,91.94,1.44,1.14,1.38,1.18,0.68,0.64,0.07,0.06,4.45,3.24,4.09,3.18
20B,42158,31813,39088,249,93,366,11,1699,1421,29919,159,67,302,6,909,850,92.72,94.05,0.59,0.50,0.22,0.21,0.87,0.95,0.03,0.02,4.03,2.86,3.37,2.67
21A,42440,32350,38530,229,255,574,27,1588,2262,29930,153,175,432,16,860,1316,90.79,92.52,0.54,0.47,0.60,0.54,1.35,1.34,0.06,0.05,3.74,2.66,5.33,4.07
21B,42872,31726,29704,1239,590,1624,107,3361,10589,23747,748,409,1120,74,1802,6226,69.29,74.85,2.89,2.36,1.38,1.29,3.79,3.53,0.25,0.23,7.84,5.68,24.70,19.62
22A,42522,32958,38743,277,176,186,9,1940,3020,30600,174,125,143,7,1101,1810,91.11,92.85,0.65,0.53,0.41,0.38,0.44,0.43,0.02,0.02,4.56,3.34,7.10,5.49
22B,41988,31673,38185,422,177,244,25,2028,2318,29330,254,133,195,25,1151,1354,90.94,92.60,1.01,0.80,0.42,0.42,0.58,0.62,0.06,0.08,4.83,3.63,5.52,4.27
23A,42684,33113,36926,539,171,1182,6,2359,3763,29561,303,124,748,5,1370,2259,86.51,89.27,1.26,0.92,0.40,0.37,2.77,2.26,0.01,0.02,5.53,4.14,8.82,6.82
23B,42304,31624,32851,1648,190,2091,257,2658,5260,25952,965,129,1334,159,1471,3031,77.65,82.06,3.90,3.05,0.45,0.41,4.94,4.22,0.61,0.50,6.28,4.65,12.43,9.58
24A,42621,31254,38668,394,114,680,9,2028,1759,28858,261,76,511,9,1091,1022,90.73,92.33,0.92,0.84,0.27,0.24,1.60,1.63,0.02,0.03,4.76,3.49,4.13,3.27
24B,42249,32140,31751,3021,142,2860,17,2882,3288,25471,1848,84,2128,15,1574,1987,75.15,79.25,7.15,5.75,0.34,0.26,6.77,6.62,0.04,0.05,6.82,4.90,7.78,6.18
25A,43096,31855,31715,3851,155,3986,13,2534,1921,24747,2217,106,2877,11,1313,1209,73.59,77.69,8.94,6.96,0.36,0.33,9.25,9.03,0.03,0.03,5.88,4.12,4.46,3.80
25B,41883,33725,30749,3919,255,2760,42,2911,2968,26010,2623,222,2273,36,1663,2007,73.42,77.12,9.36,7.78,0.61,0.66,6.59,6.74,0.10,0.11,6.95,4.93,7.09,5.95
26A,42169,34909,38022,880,102,804,0,1800,1331,32011,595,93,650,0,1144,931,90.17,91.70,2.09,1.70,0.24,0.27,1.91,1.86,0.00,0.00,4.27,3.28,3.16,2.67
26B,42834,32813,40810,207,79,177,6,1275,652,31537,128,67,128,6,724,424,95.27,96.11,0.48,0.39,0.18,0.20,0.41,0.39,0.01,0.02,2.98,2.21,1.52,1.29
27A,42309,31037,38409,743,190,445,5,2013,1121,28645,536,166,320,1,1030,632,90.78,92.29,1.76,1.73,0.45,0.53,1.05,1.03,0.01,0.00,4.76,3.32,2.65,2.04
27B,42931,31741,39362,289,198,393,8,2263,1004,29575,167,144,270,6,1311,555,91.69,93.18,0.67,0.53,0.46,0.45,0.92,0.85,0.02,0.02,5.27,4.13,2.34,1.75
28A,43181,32724,39621,364,255,561,16,1977,988,30486,243,179,404,12,1133,563,91.76,93.16,0.84,0.74,0.59,0.55,1.30,1.23,0.04,0.04,4.58,3.46,2.29,1.72
28B,41774,31822,38342,250,155,577,1,2084,1058,29752,146,115,384,1,1183,604,91.78,93.50,0.60,0.46,0.37,0.36,1.38,1.21,0.00,0.00,4.99,3.72,2.53,1.90
29A,43036,31799,39873,294,133,292,6,1872,1145,29833,189,99,214,4,1075,701,92.65,93.82,0.68,0.59,0.31,0.31,0.68,0.67,0.01,0.01,4.35,3.38,2.66,2.20
29B,42957,31631,38615,552,138,467,14,2258,1882,28961,349,99,365,13,1227,1098,89.89,91.56,1.29,1.10,0.32,0.31,1.09,1.15,0.03,0.04,5.26,3.88,4.38,3.47
30A,42927,29279,37571,1499,125,928,18,2258,1216,26232,880,86,667,14,1066,666,87.52,89.59,3.49,3.01,0.29,0.29,2.16,2.28,0.04,0.05,5.26,3.64,2.83,2.27
30B,42680,31591,37246,1367,210,822,15,2421,1492,28091,956,170,589,8,1362,951,87.27,88.92,3.20,3.03,0.49,0.54,1.93,1.86,0.04,0.03,5.67,4.31,3.50,3.01
31A,43667,32628,36804,2289,164,1333,8,2507,1425,28431,1351,131,898,6,1402,829,84.28,87.14,5.24,4.14,0.38,0.40,3.05,2.75,0.02,0.02,5.74,4.30,3.26,2.54
31B,42734,32379,38273,441,171,1183,13,2282,1017,29579,262,136,755,12,1354,619,89.56,91.35,1.03,0.81,0.40,0.42,2.77,2.33,0.03,0.04,5.34,4.18,2.38,1.91
32A,43991,32470,34531,2608,219,3160,10,2656,1762,26734,1519,155,2170,7,1347,1036,78.50,82.33,5.93,4.68,0.50,0.48,7.18,6.68,0.02,0.02,6.04,4.15,4.01,3.19
32B,42492,31582,31498,2706,258,3885,12,2944,2617,24627,1643,205,2754,10,1541,1578,74.13,77.98,6.37,5.20,0.61,0.65,9.14,8.72,0.03,0.03,6.93,4.88,6.16,5.00
33A,42549,31866,37489,844,149,1212,4,2347,1411,28863,499,94,823,3,1248,831,88.11,90.58,1.98,1.57,0.35,0.29,2.85,2.58,0.01,0.01,5.52,3.92,3.32,2.61
33B,43169,34290,38128,1434,327,686,19,2208,1270,30738,1224,291,494,12,1284,774,88.32,89.64,3.32,3.57,0.76,0.85,1.59,1.44,0.04,0.03,5.11,3.74,2.94,2.26
34A,41619,31022,34427,2317,155,1548,7,2258,1706,26616,1449,120,1101,5,1146,1028,82.72,85.80,5.57,4.67,0.37,0.39,3.72,3.55,0.02,0.02,5.43,3.69,4.10,3.31
34B,45219,33300,23857,8981,216,7757,5,3000,2361,19552,5753,156,5363,4,1538,1502,52.76,58.71,19.86,17.28,0.48,0.47,17.15,16.11,0.01,0.01,6.63,4.62,5.22,4.51
35A,42530,33198,32867,3541,355,2049,13,2885,1923,27118,2223,263,1414,13,1609,1210,77.28,81.69,8.33,6.70,0.83,0.79,4.82,4.26,0.03,0.04,6.78,4.85,4.52,3.64
35B,41489,31663,31018,4097,268,2411,14,2791,1878,25169,2499,204,1626,10,1526,1166,74.76,79.49,9.87,7.89,0.65,0.64,5.81,5.14,0.03,0.03,6.73,4.82,4.53,3.68
36A,41741,32193,36239,1148,243,1614,5,2124,1181,28584,803,196,1169,3,1171,711,86.82,88.79,2.75,2.49,0.58,0.61,3.87,3.63,0.01,0.01,5.09,3.64,2.83,2.21
36B,43716,34823,35389,1977,181,2755,12,2552,2182,29422,1257,124,1930,8,1477,1307,80.95,84.49,4.52,3.61,0.41,0.36,6.30,5.54,0.03,0.02,5.84,4.24,4.99,3.75
37A,43630,31933,35519,1629,112,3403,6,2337,1333,26806,1034,80,2356,3,1248,802,81.41,83.94,3.73,3.24,0.26,0.25,7.80,7.38,0.01,0.01,5.36,3.91,3.06,2.51
37B,42947,33701,34107,2834,187,2397,12,2681,1681,27993,1736,146,1854,9,1442,1074,79.42,83.06,6.60,5.15,0.44,0.43,5.58,5.50,0.03,0.03,6.24,4.28,3.91,3.19
38A,41953,30626,14933,14488,301,6913,10,2881,4085,12785,9653,212,4709,3,1672,2539,35.59,41.75,34.53,31.52,0.72,0.69,16.48,15.38,0.02,0.01,6.87,5.46,9.74,8.29
