year,office,district,party,candidate
2024,State House,52B,DFL,Bianca Virnig
2024,State House,52B,R,Douglas D. Willetts
2024,State House,53A,DFL,Mary Frances Clardy
2024,State House,53A,R,Nathan Herschbach
2024,State House,53B,DFL,Rick Hansen
2024,State House,53B,R,Aaron M. Brooksby
2024,State House,54A,DFL,Brad Tabke
2024,State House,54A,R,Aaron Paul
2024,State House,54B,DFL,Jean Lee
2024,State House,54B,R,Ben Bakeberg
2024,State House,55A,DFL,Jessica Hanson
2024,State House,55A,R,Gabriela Kroetch
2024,State House,55B,DFL,Kaela Berg
2024,State House,55B,R,Van Holston
2024,State House,56A,DFL,Robert Bierman
2024,State House,56A,R,Angela Zorn
2024,State House,56B,DFL,John Huot
2024,State House,56B,R,Angeline Anderson
2024,State House,57A,DFL,Veda Kanitz
2024,State House,57A,R,Jon Koznick
2024,State House,57B,DFL,Brian Cohn
2024,State House,57B,R,Jeff Witte
2024,State House,58A,DFL,Kristi Pursell
2024,State House,58A,R,Rita Hillmann Olson
2024,State House,58B,DFL,Ian English
2024,State House,58B,R,Drew Roach
2024,State House,59A,DFL,Fue Lee
2024,State House,59B,DFL,Esther Agbaje
2024,State House,59B,R,Kenneth Smoron
2024,State House,5A,DFL,Brian M. Hobson
2024,State House,5A,R,Krista Knudsen
2024,State House,5B,DFL,Gregg Hendrickson
2024,State House,5B,R,Mike Wiener
2024,State House,60A,DFL,Sydney Jordan
2024,State House,60A,R,Mary Holmberg
2024,State House,60B,DFL,Mohamud Noor
2024,State House,60B,R,Abigail Wolters
2024,State House,61A,DFL,Katie Jones
2024,State House,61B,DFL,Jamie Long
2024,State House,61B,R,Bob Carney
2024,State House,62A,DFL,Aisha Gomez
2024,State House,62A,R,Alexandra (ZaZa) Hoffman Novick
2024,State House,62B,DFL,Anquam Mahamoud
2024,State House,62B,R,Bob Sullentrop
2024,State House,63A,DFL,Samantha Sencer-Mura
2024,State House,63B,DFL,Emma Greenman
2024,State House,63B,R,Diane Napper
2024,State House,64A,DFL,Kaohly Her
2024,State House,64A,R,Dan Walsh
2024,State House,64B,DFL,Dave Pinto
2024,State House,64B,R,Peter Donahue
2024,State House,65A,DFL,Samakab Hussein
2024,State House,65B,DFL,María Isa Pérez-Vega
2024,State House,65B,R,Mike Hilborn
2024,State House,66A,DFL,Leigh Finke
2024,State House,66A,R,Fadil Jama
2024,State House,66B,DFL,Athena Hollins
