county,precinct,office,district,candidate,party,votes
Aitkin,Fleming Twp,U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Fleming Twp,U.S. House,8,Pete Stauber,R,150
Aitkin,Fleming Twp,U.S. House,8,Jennifer Schultz,DFL,74
Aitkin,Fleming Twp,U.S. House,8,WRITE-IN,WI,0
Aitkin,Fleming Twp,State Senate,7,Not on ballot,R,0
Aitkin,Fleming Twp,State Senate,7,Not on ballot,DFL,0
Aitkin,Fleming Twp,State Senate,7,WRITE-IN,WI,0
Aitkin,Fleming Twp,State House,7A,Spencer Igo,R,148
Aitkin,Fleming Twp,State House,7A,Aron Schnaser,DFL,66
Aitkin,Fleming Twp,State House,7A,WRITE-IN,WI,0
Aitkin,Fleming Twp,Constitutional Amendment 1,NA,YES,NP,164
Aitkin,Fleming Twp,Constitutional Amendment 1,NA,NO,NP,53
Aitkin,Glen Twp,State Senate,10,DIST Candidate,DIST,10
Aitkin,Glen Twp,President,NA,Donald Trump,R,200
Aitkin,Glen Twp,President,NA,Kamala Harris,DFL,130
Aitkin,Glen Twp,President,NA,Chase Oliver,LIB,3
Aitkin,Glen Twp,President,NA,Cornel West,WTP,2
Aitkin,Glen Twp,President,NA,Jill Stein,G,0
Aitkin,Glen Twp,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Glen Twp,President,NA,Rachele Fruit,SWP,0
Aitkin,Glen Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Glen Twp,President,NA,Other Independent,IND,0
Aitkin,Glen Twp,President,NA,WRITE-IN,WI,1
Aitkin,Glen Twp,U.S. Senate,NA,Royce White,R,174
Aitkin,Glen Twp,U.S. Senate,NA,Amy Klobuchar,DFL,146
Aitkin,Glen Twp,U.S. Senate,NA,Rebecca Whiting,LIB,3
Aitkin,Glen Twp,U.S. Senate,NA,Steve Carlson,IA,4
Aitkin,Glen Twp,U.S. Senate,NA,WRITE-IN,WI,2
Aitkin,Glen Twp,U.S. House,8,Pete Stauber,R,214
Aitkin,Glen Twp,U.S. House,8,Jennifer Schultz,DFL,118
Aitkin,Glen Twp,U.S. House,8,WRITE-IN,WI,0
Aitkin,Glen Twp,State Senate,10,Not on ballot,R,0
Aitkin,Glen Twp,State Senate,10,Not on ballot,DFL,0
Aitkin,Glen Twp,State Senate,10,WRITE-IN,WI,0
Aitkin,Glen Twp,State House,10A,Ron Kresha,R,206
Aitkin,Glen Twp,State House,10A,Julia Samsal Hipp,DFL,119
Aitkin,Glen Twp,State House,10A,WRITE-IN,WI,2
Aitkin,Glen Twp,Constitutional Amendment 1,NA,YES,NP,231
Aitkin,Glen Twp,Constitutional Amendment 1,NA,NO,NP,85
Aitkin,Haugen Twp,State Senate,7,DIST Candidate,DIST,7
Aitkin,Haugen Twp,President,NA,Donald Trump,R,78
Aitkin,Haugen Twp,President,NA,Kamala Harris,DFL,49
Aitkin,Haugen Twp,President,NA,Chase Oliver,LIB,0
Aitkin,Haugen Twp,President,NA,Cornel West,WTP,2
Aitkin,Haugen Twp,President,NA,Jill Stein,G,0
Aitkin,Haugen Twp,President,NA,Claudia De la Cruz,SLP,0
Aitkin,Haugen Twp,President,NA,Rachele Fruit,SWP,0
Aitkin,Haugen Twp,President,NA,Robert F. Kennedy Jr.,JFA,0
Aitkin,Haugen Twp,President,NA,Other Independent,IND,0
Aitkin,Haugen Twp,President,NA,WRITE-IN,WI,0
Aitkin,Haugen Twp,U.S. Senate,NA,Royce White,R,71
Aitkin,Haugen Twp,U.S. Senate,NA,Amy Klobuchar,DFL,51
Aitkin,Haugen Twp,U.S. Senate,NA,Rebecca Whiting,LIB,1
Aitkin,Haugen Twp,U.S. Senate,NA,Steve Carlson,IA,3
Aitkin,Haugen Twp,U.S. Senate,NA,WRITE-IN,WI,0
Aitkin,Haugen Twp,U.S. House,8,Pete Stauber,R,80
Aitkin,Haugen Twp,U.S. House,8,Jennifer Schultz,DFL,48
Aitkin,Haugen Twp,U.S. House,8,WRITE-IN,WI,0
Aitkin,Haugen Twp,State Senate,7,Not on ballot,R,0
Aitkin,Haugen Twp,State Senate,7,Not on ballot,DFL,0
Aitkin,Haugen Twp,State Senate,7,WRITE-IN,WI,0
Aitkin,Haugen Twp,State House,7A,Spencer Igo,R,75
Aitkin,Haugen Twp,State House,7A,Aron Schnaser,DFL,49
